,Relation,Precision,Recall,F1_score
0,CO/ELABORATION,0.6123046875,0.64306640625,0.6273086530046674
1,SUB/ELABORATION,0.6928738524011299,0.5811007175645682,0.6181452643301282
2,CO/CONDITION,0.0,0.0,6.92643402543426e-310
3,SUB/CONDITION,0.7596964518229167,0.7158512369791665,0.7268416489039111
4,CO/LIST,0.6438703748914931,0.4965952232401207,0.5424270466744412
5,SUB/LIST,0.0,0.0,6.92643393404555e-310
6,CO/TEMPORAL,0.0,0.0,6.92641157909996e-310
7,CO/DISJUNCTION,0.7284071180555556,0.5488341531635802,0.6097967180568918
8,SUB/TEMPORAL,0.7533935546875001,0.754189453125,0.7483565814612281
9,CO/PURPOSE,0.0,0.0,6.9264339566951e-310
10,SUB/PURPOSE,0.6100667317708333,0.4627720977714002,0.5060674114402018
11,CO/RESULT,0.0,0.0,6.9264339882078e-310
12,SUB/RESULT,0.59228515625,0.45107421875000003,0.4995084162458045
13,CO/CLAUSE,0.0,0.0,6.4419951848451665e+289
14,SUB/CLAUSE,0.0,0.0,2.2752033985633067e-300
15,CO/CONTRAST,0.7918715533088234,0.6934646905637254,0.7318709008687186
16,SUB/CONTRAST,0.6337890625,0.3217075892857143,0.42678276481968175
17,SUB/DISJUNCTION,0.0,0.0,2.645218208765366e+185
18,CO/LSIT,0.6787109375,0.3333333333333333,0.4470890961724027
19,SUB/ATTRIBUTION,0.6427734374999999,0.6229771205357143,0.6300782459174162
20,CO/ATTRIBUTION,0.0,0.0,1.4771513113142447e+248
21,SUB/SPATIAL,0.8898111979166666,0.7075737847222222,0.7795416720563632
22,SUB/BACKGROUND,0.76953125,0.4560546875,0.5727029382470119
23,SUB/CAUSE,0.73046875,0.452880859375,0.5591167861563854
