,Relation,Precision,Recall,F1_score
0,CO/ELABORATION,0.5953125,0.8095703125,0.6861032427359934
1,SUB/ELABORATION,0.6806414988833553,0.6421966823673324,0.6454261392085544
2,CO/CONDITION,0.0,0.0,6.924360078291e-310
3,SUB/CONDITION,0.7864436848958333,0.7743269856770834,0.773536713971924
4,CO/LIST,0.6281281222168674,0.5572810581752232,0.5707826304500457
5,SUB/LIST,0.0,0.0,6.92436007830995e-310
6,CO/TEMPORAL,0.0,0.0,6.9243600783131e-310
7,CO/DISJUNCTION,0.6245478877314814,0.5227502893518517,0.5664202996177834
8,SUB/TEMPORAL,0.7696744791666666,0.7102001953125,0.735470595167379
9,CO/PURPOSE,0.0,0.0,6.92436007832576e-310
10,SUB/PURPOSE,0.5561697823660714,0.49340870137117354,0.5021455790172882
11,CO/RESULT,0.0,0.0,6.9243647336352e-310
12,SUB/RESULT,0.5812608506944444,0.6718098958333334,0.6084876577947251
13,CO/CLAUSE,0.0,0.0,6.92436473363836e-310
14,SUB/CLAUSE,0.0,0.0,6.92434687884583e-310
15,CO/CONTRAST,0.8143985523897057,0.8162741268382353,0.8080453627105356
16,SUB/CONTRAST,0.7001953125,0.16587611607142858,0.2682127018564755
17,SUB/DISJUNCTION,0.0,0.0,6.9243600786072e-310
18,CO/LSIT,0.0,0.0,0.0
19,SUB/ATTRIBUTION,0.660688709077381,0.7366396949404762,0.6796896752828007
20,CO/ATTRIBUTION,0.0,0.0,6.92436007876844e-310
21,SUB/SPATIAL,0.8369683159722222,0.7855360243055555,0.80466638504342
22,SUB/BACKGROUND,0.6110026041666666,0.68994140625,0.6480770772081822
23,SUB/CAUSE,0.4241536458333333,0.58203125,0.4907063854739567
