,Relation,Precision,Recall,F1_score
0,CO/ELABORATION,0.4339192708333333,0.66357421875,0.5247186318218894
1,SUB/ELABORATION,0.6769862813592952,0.6546406817493944,0.6497327810075707
2,CO/CONDITION,0.0,0.0,6.92433876424526e-310
3,SUB/CONDITION,0.8160270182291667,0.8277311197916667,0.8154425087244783
4,CO/LIST,0.6098952197523976,0.5498436014488262,0.5585485395680544
5,SUB/LIST,0.0,0.0,6.92433867286604e-310
6,CO/TEMPORAL,0.0,0.0,6.92431465524094e-310
7,CO/DISJUNCTION,0.659423828125,0.5648027584876544,0.5894580917383785
8,SUB/TEMPORAL,0.7529351128472223,0.8101302083333334,0.7729386410448376
9,CO/PURPOSE,0.0,0.0,6.92433869550927e-310
10,SUB/PURPOSE,0.6461379278273809,0.603063937163407,0.5978099490086886
11,CO/RESULT,0.0,0.0,6.9243387270188e-310
12,SUB/RESULT,0.5293511284722222,0.6098741319444444,0.5645680366627626
13,CO/CLAUSE,0.0,0.0,1.5042492038060843e+161
14,SUB/CLAUSE,0.0,0.0,7.890106414338794e+165
15,CO/CONTRAST,0.7345703124999998,0.7348498774509803,0.7282211365798158
16,SUB/CONTRAST,0.578125,0.30887276785714285,0.4026325102233407
17,SUB/DISJUNCTION,0.0,0.0,1.5239476108009158e-258
18,CO/LSIT,0.5872395833333334,0.3138020833333333,0.4090310392581888
19,SUB/ATTRIBUTION,0.6429129464285713,0.6551571800595238,0.6362279744039571
20,CO/ATTRIBUTION,0.0,0.0,8.765805441301799e+228
21,SUB/SPATIAL,0.892578125,0.8231336805555555,0.8520030362458826
22,SUB/BACKGROUND,0.77783203125,0.802734375,0.79008703081557
23,SUB/CAUSE,0.466796875,0.591796875,0.521916801199262
