,Relation,Precision,Recall,F1_score
0,CO/ELABORATION,0.5208333333333334,0.82763671875,0.6393331321665661
1,SUB/ELABORATION,0.7238986676503228,0.7384003449102097,0.7206775782913697
2,CO/CONDITION,0.0,0.0,8.844561829324533e-280
3,SUB/CONDITION,0.8634082031249999,0.887197265625,0.8692123006516086
4,CO/LIST,0.6283144511873759,0.6317910815042161,0.6150639562444163
5,SUB/LIST,0.0,0.0,3.051882677162669e-260
6,CO/TEMPORAL,0.0,0.0,3.5647348842994984e-241
7,CO/DISJUNCTION,0.7341760706018519,0.6965964988425927,0.7096604369441142
8,SUB/TEMPORAL,0.749072265625,0.7527994791666666,0.7479039512825966
9,CO/PURPOSE,0.0,0.0,2.7592641348445467e-306
10,SUB/PURPOSE,0.6184792862457483,0.5825590587797619,0.579804284581963
11,CO/RESULT,0.0,0.0,4.079640334776636e-239
12,SUB/RESULT,0.5325195312500001,0.6633463541666667,0.5720668572617972
13,CO/CLAUSE,0.0,0.0,3.756925392423743e-241
14,SUB/CLAUSE,0.0,0.0,1.5852255560044448e-201
15,CO/CONTRAST,0.8330652573529411,0.8648092830882353,0.8439793441427873
16,SUB/CONTRAST,0.62890625,0.38671875,0.47893629807692306
17,SUB/DISJUNCTION,0.0,0.0,2.7648119127611528e-306
18,CO/LSIT,0.798828125,0.6751302083333334,0.7317886622128975
19,SUB/ATTRIBUTION,0.7139209980867347,0.7488002232142856,0.7262814347696319
20,CO/ATTRIBUTION,0.0,0.0,1.7293539699873507e-240
21,SUB/SPATIAL,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,SUB/BACKGROUND,0.0,0.0,0.0
23,SUB/CAUSE,0.3639322916666667,0.5849609375,0.4487041702401372
